"RANKING","STATUS","ID_PROV","ID_KAB","ID_KEC","NAMA_PROV","NAMA_KAB","NAMA_KEC","TOTAL_DESA","YEAR_NOW","IDM_NOW","STATUS_NOW","IKS_NOW","IKE_NOW","IKL_NOW","JML_DESA_NOW","YEAR_PREV","IDM_PREV","STATUS_PREV","IKS_PREV","IKE_PREV","IKL_PREV","JML_DESA_PREV"
"1957","BERKEMBANG","35","3515","351506","JAWA TIMUR","KABUPATEN SIDOARJO","TANGGULANGIN","19","2021","0.6987","BERKEMBANG","0.6430","0.6246","0.8286","19","2020","0.6959","BERKEMBANG","0.6307","0.6281","0.8289","19"
"1963","BERKEMBANG","12","1208","120822","SUMATERA UTARA","KABUPATEN SIMALUNGUN","BANDAR HULUAN","10","2021","0.6986","BERKEMBANG","0.6117","0.7200","0.7640","10","2020","0.6843","BERKEMBANG","0.6033","0.6867","0.7628","10"
"1963","BERKEMBANG","32","3201","320108","JAWA BARAT","KABUPATEN BOGOR","CARIU","10","2021","0.6986","BERKEMBANG","0.6783","0.6333","0.7840","10","2020","0.6674","BERKEMBANG","0.6417","0.6200","0.7406","10"
"1963","BERKEMBANG","32","3213","321321","JAWA BARAT","KABUPATEN SUBANG","LEGONKULON","7","2021","0.6986","BERKEMBANG","0.5928","0.7143","0.7886","7","2020","0.6608","BERKEMBANG","0.5667","0.6762","0.7396","7"
"1966","BERKEMBANG","35","3501","350110","JAWA TIMUR","KABUPATEN PACITAN","TULAKAN","16","2021","0.6985","BERKEMBANG","0.6896","0.6167","0.7893","16","2020","0.6868","BERKEMBANG","0.6833","0.6167","0.7603","16"
"1967","BERKEMBANG","73","7302","730210","SULAWESI SELATAN","KABUPATEN BULUKUMBA","RILAUALE","14","2021","0.6984","BERKEMBANG","0.6631","0.6429","0.7894","14","2020","0.6865","BERKEMBANG","0.6500","0.6524","0.7572","14"
"1968","BERKEMBANG","19","1901","190101","KEPULAUAN BANGKA BELITUNG","KABUPATEN BANGKA","SUNGAILIAT","1","2021","0.6983","BERKEMBANG","0.6833","0.6000","0.8114","1","2020","0.6944","BERKEMBANG","0.6833","0.6000","0.8000","1"
"1968","BERKEMBANG","35","3528","352805","JAWA TIMUR","KABUPATEN PAMEKASAN","PROPPO","27","2021","0.6983","BERKEMBANG","0.6210","0.6889","0.7852","27","2020","0.6796","BERKEMBANG","0.6019","0.6692","0.7678","27"
"1968","BERKEMBANG","16","1608","160812","SUMATERA SELATAN","KABUPATEN OGAN KOMERING ULU TIMUR","BUAY MADANG TIMUR","30","2021","0.6983","BERKEMBANG","0.6139","0.6800","0.8010","30","2020","0.6889","BERKEMBANG","0.6050","0.6667","0.7950","30"
"1971","BERKEMBANG","61","6104","610413","KALIMANTAN BARAT","KABUPATEN KETAPANG","TUMBANG TITI","25","2021","0.6982","BERKEMBANG","0.5560","0.7787","0.7600","25","2020","0.6600","BERKEMBANG","0.5213","0.7120","0.7467","25"
"1971","BERKEMBANG","15","1505","150510","JAMBI","KABUPATEN MUARO JAMBI","BAHAR SELATAN","10","2021","0.6982","BERKEMBANG","0.6267","0.6667","0.8012","10","2020","0.6857","BERKEMBANG","0.6167","0.6667","0.7737","10"
"1971","BERKEMBANG","16","1605","160512","SUMATERA SELATAN","KABUPATEN MUSI RAWAS","MEGANG SAKTI","19","2021","0.6982","BERKEMBANG","0.6211","0.6527","0.8210","19","2020","0.6994","BERKEMBANG","0.6211","0.6562","0.8210","19"
"1971","BERKEMBANG","32","3201","320138","JAWA BARAT","KABUPATEN BOGOR","CIGOMBONG","9","2021","0.6982","BERKEMBANG","0.6481","0.5926","0.8540","9","2020","0.6753","BERKEMBANG","0.6241","0.5778","0.8241","9"
